running build
running build_ext
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 11fcc50
meminfo malloc_new 11fcc50
meminfo free 11faf90
meminfo malloc_copy 11faf90
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 12b2b70
meminfo malloc_new 12b2b70
meminfo free 1458550
meminfo malloc_copy 1458550
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_new 145b060
meminfo free 11faf90
meminfo malloc_new 11faf90
meminfo free 145b060
meminfo malloc_copy 145b060
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
meminfo malloc_new 1458550
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1458550
